description,label_plaquette,label_ampoule,label_flacon,label_tube,label_stylo,label_seringue,label_pilulier,label_sachet,label_comprime,label_gelule,label_film,label_poche,label_capsule,count_plaquette,count_ampoule,count_flacon,count_tube,count_stylo,count_seringue,count_pilulier,count_sachet,count_comprime,count_gelule,count_film,count_poche,count_capsule,count_ml
"1 flacon(s) en verre avec cuillère-mesure polystyrène de 31,5 g",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
"1 seringue(s) préremplie(s) en verre de 0,6 ml",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6
plaquette(s) aluminium de 7 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.0
plaquette(s) thermoformée(s) polyamide aluminium PVC de 60 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.0
"2 stylo prérempli en verre de 0,8 ml avec tampon(s) alcoolisé(s)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.8
30 plaquette(s) thermoformée(s) aluminium de 1 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0.0
tube(s) polypropylène de 18  comprimé(s),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.0
plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 12 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0.0
5 cartouche(s) en verre  de 3 ml pour stylo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"1 flacon(s) en verre de 10,5 g avec seringue(s) pour administration orale polyéthylène polystyrène",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1 flacon(s) polyéthylène de 2 ml,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
4 seringue(s) préremplie(s) polypropylène jaune(brun) de 2 ml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2.0
plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 28  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0
"1 flacon(s) en verre avec seringue pour administration orale polystyrène polyéthylène de 5,13 g",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Trousse de 1 flacon(s) en verre de 50 ml avec seringue(s) polypropylène avec cathéter(s) IV (BD Insyte Autoguard),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.0
1 flacon(s) en verre brun de 100 ml avec gobelet doseur polypropylène,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0
plaquette(s) PVC PVDC aluminium de 20 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
1 poche(s) (MACOFLEX) N polyoléfine suremballée(s)/surpochée(s) de 1000 ml,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
plaquette(s) thermoformée(s) PVC-aluminium PVDC de 15 capsule(s),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0
10 plaquette(s) thermoformée(s) PVC-Aluminium de 10 gélule(s) (distributeur parallèle : Laboratoire Mediwin Ldt),1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0
plaquette(s) PVC PVDC aluminium de 50 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0
"1 flacon(s) en verre - 1 seringue(s) préremplie(s) en verre de 0,6 ml",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.6
plaquette(s) thermoformée(s) polyamide PVC-aluminium de 28  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0
1 film(s) thermosoudé(s) aluminium de 30 capsule(s),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,0.0
plaquette(s) thermoformée(s) PVC-aluminium de 20 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
film(s) thermosoudé(s) papier kraft polyéthylène basse densité (PEBD) aluminium de 10  comprimé(s),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0
1 flacon(s) polyéthylène haute densité (PEHD) de 28 comprimés avec fermeture de sécurité enfant,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0.0
tube(s) polypropylène de 30 comprimé(s),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC-Aluminium polyamide de 28 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
"1 flacon(s) de 39,216 g avec cuillère-mesure polystyrène",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
20 sachet(s)-dose(s) polyester aluminium polyéthylène basse densité (PEBD) de 15 ml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,15.0
1 flacon(s) en verre brun de 100 ml avec gobelet doseur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0
1 flacon(s) polyéthylène haute densité (PEHD) de 50 ml  avec fermeture de sécurité enfant avec seringue(s) pour administration orale polyéthylène polystyrène avec gobelet(s) doseur(s) polypropylène,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.0
flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 32 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0
flacon(s) polyéthylène haute densité (PEHD) de 56 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0.0
"10 sachet(s) aluminium polyéthylène papier de 2,5  g",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0
1 plaquette(s) thermoformée(s) PVC PVDC aluminium de 21 comprimés jaunâtres + 7 comprimés rouges avec calendrier,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0.0
"1 cartouche(s) en verre de 1,5 ml dans stylo pré-rempli en plastique",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
plaquette(s) thermoformée(s) PVC PVDC aluminium de 25 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0
"1 seringue(s) préremplie(s) polystyrène polyéthylène de 3,6 mg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
plaquette(s) PVC PVDC aluminium de 56 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0.0
flacon(s) polyéthylène haute densité (PEHD) de 14 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC polyéthylène (ACLAR RX) polytrifluorochloroéthylène aluminium de 30  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
1 flacon(s) en verre de 100 ml avec nécessaire dadministration (seringue (polypropylène) de 200 ml pour injecteur Liebel & Flarsheim (système Angiomat) et cathéter IV (BD Insyte Autoguard)),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0
flacon(s) en verre brun de 25 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0
6 poche(s) éthylvinylacétate de 1000 ml à 3 compartiments,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1000.0
1 poche(s) polypropylène suremballée(s)/surpochée(s) de 250 ml,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,250.0
flacon(s) polyéthylène haute densité (PEHD) de 14 gélule(s) avec capsule polypropylène,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0.0
1 flacon(s) pressurisé(s) aluminium avec embout buccal avec valve doseuse de 200 dose(s),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1 poche(s) PVC plastifié de 250 ml,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,250.0
1 flacon(s) en verre de 15 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0.0
1 flacon(s) en verre brun de 150 ml avec seringue pour administration orale,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150.0
plaquette(s) thermoformée(s) aluminium de 56 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0.0
1 seringue(s) préremplie(s) en verre de 2 ml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
1 ampoule(s) en verre de 3 ml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
plaquette(s) thermoformée(s) PVC papier polytéréphtalate (PET) aluminium de 20 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 90 comprimé(s),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.0
3 plaquette(s) thermoformée(s) PVC-Aluminium de 10 gélule(s) avec dispositif(s) Handihaler,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0.0
plaquette(s) thermoformée(s) PVC-aluminium PVDC de 45 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0.0
1 sac(s) papier polyéthylène de 1 kg avec cuillère-mesure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC polyéthylène de 15  ovule(s),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30 sachet(s) P-A-M-éthylène (SURLYN) aluminium polyéthylène papier de 1  dispositif(s),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0
tube(s) polypropylène de 100 comprimé(s) avec fermeture de sécurité enfant,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.0
1 seringue(s) préremplie(s) polyoléfine de 20 ml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0
plaquette(s) thermoformée(s) PVC-aluminium de 16 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.0
plaquette(s) thermoformée(s) polypropylène aluminium de 42 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0.0
plaquette(s) thermoformée(s) polyamide laminé aluminium PVC-Aluminium de 90 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.0
1 flacon(s) en verre brun avec fermeture de sécurité enfant de 300 ml avec seringue(s) doseuse(s) de 10 ml,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300.0
"4 flacon(s) en verre - 4 ampoule(s) en verre de 0,7 ml avec 4 seringue(s) avec 8 aiguille(s) avec 4 tampon(s) nettoyant(s)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0.7
8 sachet(s)-dose(s) papier polyéthylène aluminium polyéthylène basse densité (PEBD) de 2 g,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0
"1 stylo prérempli en verre (SureClick) de 0,6 ml",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6
tube(s) polypropylène de 9 comprimé(s),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0
plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 28 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.0
plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.0
"1 flacon(s) en verre de 0,23 ml avec aiguille(s) avec seringue(s) polypropylène",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23
flacon(s) polyéthylène haute densité (PEHD) de 7 gélule(s) muni d'une capsule polypropylène,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0.0
1 tube(s) polyéthylène aluminium avec canule de 15 g,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s) (Distributeur parallèle : BB Farma),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
plaquette(s) thermoformée(s) aluminium PVC PVDC de 30 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
flacon(s) en verre brun de 125 ml avec seringue pour administration orale polyéthylène polystyrène,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0
"1 flacon(s) en verre de 42,3 mg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1 flacon(s) pressurisé(s) aluminium de 120 doses avec valve(s) doseuse(s) avec embout(s) buccal(aux),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
3 flacon(s) en verre - 3 flacon(s) en verre de 1  ml,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.0
"14 sachet(s) papier kraft polyéthylène aluminium de 2,5  g",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0
1 flacon(s) polyéthylène haute densité (PEHD) de 112  comprimé(s) avec fermeture de sécurité enfant polypropylène,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,112,0,0,0,0,0.0
1 flacon(s) en verre brun de 40 gélule(s),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0.0
2 cartouche(s) bicompartimentée(s) en verre et de 1  ml avec aiguille(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
tube(s) polypropylène de 100 comprimé(s),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.0
1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 5 ml (distributeur parallèle : MEDIWIN LIMITED),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
1 flacon(s) en verre de 1  lyophilisat(s) - 1 ampoule(s) en verre de 2  ml,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.0
1 poche(s) polypropylène SIS : styrène-isoprène-styrène styrène éthylène butadiène suremballée(s)/surpochée(s) de 250 ml avec site d'addition Luer Lock,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,250.0
"1 flacon(s) en verre de 1,193  g - 1 ampoule(s) en verre de 3,5  ml",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.5
4 poche(s) polypropylène élastomère thermoplastique bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s) de 1000 ml - 4 poche(s) polypropylène élastomère thermoplastique bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s) de,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1000.0
plaquette(s) thermoformée(s) PVC aluminium de 60 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.0
1 flacon(s) en verre - 1 ampoule(s) en verre de 2 ml avec 1 seringue(s) polypropylène avec 2 aiguille(s),0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2.0
plaquette(s) thermoformée(s) aluminium polyéthylène PVDC de 90 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.0
plaquette(s) thermoformée(s) aluminium de 20 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
"1 cartouche(s) en verre de 0,5 ml dans 1 stylo pré-rempli avec 1 aiguille(s)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5
film(s) thermosoudé(s) aluminium polyéthylène de 24  comprimé(s),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0
"1 seringue(s) préremplie(s) en verre de 0,5  ml",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5
1 flacon(s) PVC de 200 ml avec cuillère-mesure polypropylène de 5 ml,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200.0
plaquette(s) aluminium PVC de 28 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.0
plaquette(s) thermoformée(s) aluminium non prédécoupée(s) de 28 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0
1 stylo prérempli en verre de 1 ml avec aiguille(s),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
plaquette(s) thermoformée(s) papier aluminium nylon PVC de 7 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.0
1 poche(s) (VIAFLO) polyéthylène polyamide polypropylène suremballée(s)/surpochée(s) de 1000 ml,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000.0
plaquette(s) thermoformée(s) PVC polyéthylène de 10 ovule(s),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
plaquette(s) thermoformée(s) aluminium PVC-Aluminium polyamide de 14  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0.0
4 sachet(s) papier polyéthylène aluminium copolymère d'éthylène de 1 dispositif(s),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC-Aluminium de 45 capsule(s),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
1 flacon(s) en verre de 100 gélule(s),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0.0
plaquette(s) formée(s) à froid PVC-Aluminium de 10 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 28  capsule(s),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0
1 flacon(s) en verre brun de 300 ml avec seringue(s) pour administration orale polypropylène polyéthylène,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300.0
1 flacon(s) en verre de 5 g,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
"2 seringue(s) préremplie(s) en verre de 0,5 ml avec aiguille(s)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5
plaquette(s) aluminium PVC-Aluminium polyamide de 6 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC PVDC aluminium de 16 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.0
2 plaquette(s) thermoformée(s) PVC-Aluminium de 14 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0.0
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0
1 flacon(s) polytéréphtalate (PET) avec fermeture de sécurité enfant de 460 ml avec seringue(s) pour administration orale avec adaptateur(s) pour flacon,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,460.0
5 cartouche(s) en verre  de 3 ml dans stylos pré-remplis jetables,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
8 sachet(s) aluminium P-A-M-éthylène (SURLYN) de 1  dispositif(s),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0
1 récipient(s) multidose(s) polyéthylène de 500 g avec cuillère-mesure polystyrène,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
plaquette(s) thermoformée(s) polyamide aluminium PVC papier polyester de 30 comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0
1 flacon(s) en verre - 1 flacon(s) en verre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1 flacon(s) en verre de 300 mg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
plaquette(s) thermoformée(s) PVC PVDC aluminium de 20  comprimé(s),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
plaquette(s) aluminium de 90 gélule(s),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0.0
