drug_id,description,administrative_status,approved_for_hospital_use,reimbursement_rate,marketing_declaration_date,marketing_authorization_date,marketing_authorization_process,pharmaceutical_companies,price
13_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s),Présentation active,non,65%,20130101,20080101,Procédure de reconnaissance mutuelle, RATIOPHARM (ALLEMAGNE),6.36
14_train,3 plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 10 comprimé(s),Présentation active,oui,65%,20080101,19980101,Procédure centralisée, BAYER PHARMA (ALLEMAGNE),9.62
15_train,1 flacon(s) en verre brun de 30 ml avec mesurette(s) graduée(s) polypropylène polyéthylène haute densité (PEHD),Présentation active,oui,65%,19810101,19890101,Procédure nationale, SANOFI AVENTIS FRANCE,2.79
16_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 10 comprimé(s),Présentation active,non,15%,20140101,20050101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,1.33
17_train,plaquette(s) thermoformée(s) PVC-aluminium de 25  comprimé(s),Présentation active,oui,65%,20020101,20020101,Procédure nationale, ARROW GENERIQUES,9.46
18_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20060101,19870101,Procédure nationale, LUNDBECK SAS,10.02
19_train,plaquette(s) thermoformée(s) PVC-Aluminium de 15  gélule(s),Présentation active,oui,65%,20040101,20030101,Procédure de reconnaissance mutuelle, THERABEL LUCIEN PHARMA,9.79
20_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, KRKA (SLOVENIE),6.36
21_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 5 comprimé(s),Présentation active,non,65%,20140101,20100101,Procédure nationale, TEVA SANTE,10.99
22_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 gélule(s),Présentation active,oui,65%,20120101,20090101,Procédure nationale, ARROW GENERIQUES,10.32
23_train,tube(s) polypropylène de 30  comprimé(s),Présentation active,oui,65%,19810101,19880101,Procédure nationale, ROCHE,1.71
24_train,plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20140101,20140101,Procédure décentralisée, KRKA (SLOVENIE),13.03
25_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,non,65%,20130101,20060101,Procédure de reconnaissance mutuelle, RATIOPHARM (ALLEMAGNE),2.53
26_train,5 sachet(s) polyester aluminium P-A-M-éthylène (SURLYN) avec fermeture de sécurité enfant de 1 dispositif(s),Présentation active,non,65%,20140101,20100101,Procédure décentralisée, RANBAXY PHARMACIE GENERIQUES,12.86
27_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30  comprimé(s),Présentation active,oui,65%,19960101,19940101,Procédure de reconnaissance mutuelle, LES LABORATOIRES SERVIER,5.02
28_train,flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s),Présentation active,oui,65%,20120101,20100101,Procédure nationale, KRKA (SLOVENIE),8.14
29_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 capsule(s),Présentation active,oui,65%,20110101,20030101,Procédure nationale, BESINS INTERNATIONAL (FRANCE),13.39
30_train,plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 30 gélule(s),Présentation active,oui,30%,20050101,20000101,Procédure nationale, SANDOZ,2.13
31_train,"3 flacon(s) compte-gouttes polyéthylène de 2,5  ml",Présentation active,oui,65%,20090101,19970101,Procédure de reconnaissance mutuelle, PFIZER HOLDING FRANCE,17.05
32_train,plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20070101,19870101,Procédure nationale, BIOGARAN,20.89
33_train,plaquette(s) thermoformée(s) PVC-aluminium de 20 gélule(s),Présentation active,oui,30%,19990101,19960101,Procédure nationale, MYLAN SAS,1.91
34_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20080101,Procédure de reconnaissance mutuelle, SANDOZ,6.36
35_train,"1 flacon(s) en verre - 1 flacon(s) en verre de 1,1  ml",Présentation active,oui,65%,19910101,19900101,Procédure nationale, STALLERGENES,19.89
36_train,plaquette(s) thermoformée(s) aluminium de 84 gélule(s),Présentation active,oui,65%,20100101,20090101,Procédure de reconnaissance mutuelle, ARROW GENERIQUES,17.3
37_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 14 gélule(s),Présentation active,oui,65%,20060101,20050101,Procédure centralisée, EISAI (ROYAUME-UNI),12.26
38_train,"1 flacon(s) de 10,5 ml avec compte-gouttes",Présentation active,oui,30%,19730101,19770101,Procédure nationale, BOUCHARA-RECORDATI,1.69
39_train,plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 24  comprimé(s),Présentation active,oui,15%,20020101,20000101,Procédure nationale, MYLAN SAS,4.97
40_train,plaquette(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,non,30%,20080101,20070101,Procédure nationale, RATIOPHARM (ALLEMAGNE),1.8
41_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20130101,20110101,Procédure décentralisée, SANDOZ,18.63
42_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,non,65%,20140101,20120101,Procédure décentralisée, ARROW GENERIQUES,18.63
43_train,plaquette(s) thermoformée(s) aluminium de 14 gélule(s),Présentation active,oui,65%,20140101,20100101,Procédure nationale, ABBOTT PRODUCTS,3.94
44_train,"2 seringue(s) préremplie(s) en verre de 0,6 ml",Présentation active,oui,65%,19900101,19850101,Procédure nationale, ASPEN PHARMA TRADING (IRLANDE),13.81
45_train,1 pilulier(s) polypropylène de 30 comprimé(s),Présentation active,oui,65%,20150101,20130101,Autorisation d'importation parallèle, BB FARMA (ITALIE),23.23
46_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20110101,20090101,Procédure nationale, BIOGARAN,2.98
47_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Procédure décentralisée, EG LABO - LABORATOIRES EUROGENERICS,22.74
48_train,plaquette(s) thermoformée(s) PVC polyéthylène acétate de polyvinyle de 112 comprimé(s),Présentation active,non,65%,20150101,20090101,Procédure centralisée, TEVA (PAYS-BAS),210.25
49_train,plaquette(s) PVC PVDC aluminium de 30 gélule(s),Présentation active,oui,65%,20140101,20130101,Procédure nationale, BIOGARAN,11.41
50_train,plaquette(s) PVC PVDC aluminium de 84 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure centralisée, GLAXO GROUP (ROYAUME-UNI),126.96
51_train,plaquette(s) PVC PVDC aluminium de 30 gélule(s),Présentation active,oui,65%,20140101,20140101,Procédure décentralisée, SANOFI AVENTIS FRANCE,3.46
52_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20090101,Procédure nationale, ZYDUS FRANCE,6.36
53_train,1 ampoule(s) en verre de 1 ml,Présentation active,oui,65%,19630101,19970101,Procédure nationale, SIGMA TAU (ITALIE),1.99
54_train,plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20140101,20120101,Procédure décentralisée, MYLAN SAS,18.63
55_train,plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,15%,20120101,20080101,Procédure décentralisée, SANDOZ,27.5
56_train,plaquette(s) thermoformée(s) polyamide aluminium PVC PVDC de 30 comprimé(s),Présentation active,oui,30%,20060101,20050101,Procédure nationale, BOEHRINGER INGELHEIM FRANCE,7.96
57_train,plaquette(s) thermoformée(s) aluminium de 30 comprimé(s),Présentation active,oui,65%,20080101,20060101,Procédure nationale, BIOGARAN,4.16
58_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 14 gélule(s),Présentation active,oui,65%,20120101,20120101,Procédure nationale, ZYDUS FRANCE,3.49
59_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20060101,20060101,Procédure de reconnaissance mutuelle, RANBAXY PHARMACIE GENERIQUES,5.65
60_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,oui,100%,20090101,20010101,Procédure nationale, CRISTERS,27.17
61_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,65%,20050101,20050101,Procédure nationale, ARROW GENERIQUES,5.28
62_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 12 comprimé(s),Présentation active,oui,65%,20080101,20070101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,11.7
63_train,1 flacon(s) de 60 gélule(s),Présentation active,oui,65%,19740101,19880101,Procédure nationale, ROCHE,10.14
64_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,30%,20000101,19980101,Procédure nationale, MYLAN MEDICAL,5.91
65_train,plaquette(s) thermoformée(s) PVC-aluminium de 90 comprimé(s),Présentation active,oui,65%,20090101,20000101,Procédure de reconnaissance mutuelle, MERCK SANTE,14.86
66_train,plaquette(s) PVC-Aluminium de 14 comprimé(s),Présentation active,oui,65%,20150101,20100101,Procédure nationale, SANDOZ,12.06
67_train,plaquette(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,15%,20140101,20140101,Procédure décentralisée, SANOFI AVENTIS FRANCE,30.21
68_train,plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure centralisée, ACCORD HEALTHCARE (ROYAUME UNI),65.24
69_train,1 flacon(s) en verre de 10  ml,Présentation active,oui,65%,20040101,20020101,Procédure centralisée, NOVO NORDISK (DANEMARK),17.17
70_train,1 flacon(s) polyéthylène basse densité (PEBD) de 30  ml avec compte-gouttes polyéthylène basse densité (PEBD),Présentation active,oui,30%,19780101,19960101,Procédure nationale, JOHNSON & JOHNSON SANTE BEAUTE FRANCE,3.9
71_train,tube(s) polypropylène de 8 comprimé(s),Présentation active,oui,65%,20140101,20130101,Procédure nationale, SANDOZ,1.08
72_train,plaquette(s) thermoformée(s) aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20080101,Procédure de reconnaissance mutuelle, ZYDUS FRANCE,6.36
73_train,plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20140101,20120101,Procédure nationale, ZYDUS FRANCE,18.63
74_train,plaquette(s) thermoformée(s) PVC aluminium de 14 comprimé(s),Présentation active,oui,30%,19760101,19970101,Procédure nationale, PIERRE FABRE MEDICAMENT,2.64
75_train,plaquette(s) thermoformée(s) PVC-Aluminium de 28  gélule(s),Présentation active,oui,65%,20030101,20000101,Procédure nationale, TEVA SANTE,10.15
76_train,plaquette(s) thermoformée(s) PVC polyéthylène de 10 suppositoire(s),Présentation active,oui,65%,19990101,19980101,Procédure nationale, SANOFI AVENTIS FRANCE,1.24
77_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, SANOFI AVENTIS FRANCE,14.86
78_train,"3 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 2,5 ml",Présentation active,non,65%,20140101,20120101,Procédure décentralisée, ZYDUS FRANCE,17.05
79_train,"1 stylo prérempli en verre (SureClick) de 0,5 ml",Présentation active,non,65%,20140101,20050101,Procédure centralisée, AMGEN EUROPE,32.01
80_train,plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20100101,Procédure de reconnaissance mutuelle, KRKA (SLOVENIE),6.36
81_train,1 plaquette(s) thermoformée(s) PVC-Aluminium PVDC polyéthylène de 28 comprimé(s),Présentation active,oui,65%,20110101,20110101,Autorisation d'importation parallèle, MEDIWIN,8.48
82_train,"5 flacon(s) en verre de 0,5  ml",Présentation active,non,100%,20140101,19990101,Procédure centralisée, MERCK SHARP & DOHME (GRANDE BRETAGNE),280.43
83_train,plaquette(s) thermoformée(s) PVC-aluminium de 12 gélule(s),Présentation active,oui,65%,20060101,19950101,Procédure nationale, GLAXOSMITHKLINE,1.42
84_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,non,65%,20150101,20040101,Procédure nationale, RATIOPHARM (ALLEMAGNE),9.06
85_train,plaquette(s) thermoformée(s) PVC-Aluminium de 10 comprimé(s),Présentation active,oui,65%,20080101,20070101,Procédure nationale, BIOGARAN,3.12
86_train,plaquette(s) thermoformée(s) PVC polyéthylène (ACLAR RX) polytrifluorochloroéthylène de 84 comprimé(s),Présentation active,non,65%,20060101,19980101,Procédure centralisée, DAIICHI SANKYO EUROPE (ALLEMAGNE),54.43
87_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20150101,20130101,Procédure nationale, EVOLUPHARM,6.36
88_train,plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 14 comprimé(s),Présentation active,oui,15%,20050101,19990101,Procédure nationale, SANDOZ,1.76
89_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20100101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,7.73
90_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20110101,20090101,Procédure nationale, SANOFI AVENTIS FRANCE,18.63
91_train,pilulier(s) polyéthylène haute densité (PEHD) de 14 gélule(s),Présentation active,oui,65%,20050101,20050101,Procédure nationale, SANOFI AVENTIS FRANCE,3.49
92_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 60 comprimé(s),Présentation active,oui,65%,20090101,20070101,Procédure nationale, CRISTERS,14.79
93_train,flacon(s) polyéthylène haute densité (PEHD) de 270 comprimé(s),Présentation active,oui,65%,20150101,20110101,Procédure nationale, BIOGARAN,21.73
94_train,plaquette(s) thermoformée(s) PVC aluminium de 60 comprimé(s),Présentation active,oui,65%,20000101,19990101,Procédure nationale, MYLAN SAS,8.92
95_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, BLUEFISH PHARMACEUTICALS (SUEDE),23.71
96_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 15 comprimé(s),Présentation active,oui,30%,20040101,20040101,Procédure nationale, BIOGARAN,2.12
97_train,1 flacon(s) en verre de 1 g avec dispositif(s) d'administration UROLine avec seringue(s) polypropylène,Présentation active,oui,100%,20020101,20010101,Procédure nationale, PROSTRAKAN (ROYAUME UNI),89.51
98_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 28 comprimé(s),Présentation active,non,65%,20140101,20060101,Procédure nationale, RATIOPHARM (ALLEMAGNE),7.81
99_train,3 plaquette(s) thermoformée(s) PVC aluminium de 10 comprimé(s),Présentation active,oui,65%,19980101,19940101,Procédure nationale, ASTRAZENECA,6.28
100_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,15%,20120101,20080101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,27.5
101_train,1 flacon(s) en verre - 1 seringue(s) préremplie(s) en verre de 1  ml,Présentation active,oui,65%,20030101,19930101,Procédure de reconnaissance mutuelle, NOVO NORDISK,21.77
102_train,plaquette(s) thermoformée(s) aluminium de 30 comprimé(s),Présentation active,non,65%,20130101,20090101,Procédure nationale, MYLAN SAS,5.27
103_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,non,65%,20150101,20100101,Procédure nationale, TEVA SANTE,8.13
104_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20080101,Procédure de reconnaissance mutuelle, ACCORD HEALTHCARE (ROYAUME UNI),6.7
105_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 28 comprimé(s),Présentation active,oui,65%,20090101,20050101,Procédure nationale, CRISTERS,7.55
106_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90  comprimé(s),Présentation active,oui,100%,19870101,19860101,Procédure nationale, SANOFI AVENTIS FRANCE,134.79
107_train,plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s),Présentation active,oui,65%,20070101,20060101,Procédure nationale, SANDOZ,75.47
108_train,film(s) thermosoudé(s) aluminium de 30 comprimé(s),Présentation active,oui,65%,19940101,19920101,Procédure nationale, MERCK SANTE,4.86
109_train,"4 seringue(s) préremplie(s) en verre de 0,5 ml avec aiguille(s)",Présentation active,oui,65%,20030101,20030101,Procédure centralisée, BIOGEN IDEC LIMITED (ROYAUME-UNI),779.3
110_train,1 poche(s) PVC suremballée(s)/surpochée(s) de 500 ml,Présentation active,oui,65%,20010101,19980101,Procédure nationale, CHAIX ET DU MARAIS,1.94
111_train,1 flacon(s) en verre de 60  ml avec cuillère-mesure polystyrène,Présentation active,non,65%,20150101,19950101,Procédure nationale, MYLAN SAS,1.73
112_train,plaquette(s) thermoformée(s) PVC-Aluminium de 12  comprimé(s),Présentation active,oui,65%,20150101,19810101,Procédure nationale, SIGMA - TAU FRANCE,3.05
113_train,plaquette(s) thermoformée(s) PVC-Aluminium de 24  comprimé(s),Présentation active,non,65%,19620101,19880101,Procédure nationale, LISAPHARM,1.61
114_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20110101,20090101,Procédure nationale, BIOGARAN,18.63
115_train,1 flacon(s) polyéthylène de 16 gélule(s),Présentation active,oui,65%,19900101,19890101,Procédure nationale, ALMIRALL (ESPAGNE),6.28
116_train,plaquette(s) thermoformée(s) aluminium PVC-Aluminium polyamide de 30 comprimé(s),Présentation active,oui,65%,20150101,20090101,Procédure centralisée, TEVA (PAYS-BAS),16.93
117_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20150101,20120101,Procédure nationale, ZYDUS FRANCE,18.63
118_train,pilulier(s) polyéthylène haute densité (PEHD) de 14 gélule(s),Présentation active,non,65%,20120101,20050101,Procédure nationale, DISTRIQUIMICA,3.49
119_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 12 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, SANOFI AVENTIS FRANCE,20.15
120_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,non,65%,20150101,20100101,Procédure nationale, TEVA SANTE,18.57
121_train,plaquette(s) thermoformée(s) aluminium de 6 comprimé(s),Présentation active,oui,65%,20120101,20100101,Procédure nationale, ZYDUS FRANCE,10.13
122_train,1 flacon(s) en verre,Présentation active,oui,65%,20080101,19860101,Procédure de reconnaissance mutuelle, MSD FRANCE,16.37
123_train,2 seringue(s) préremplie(s) en verre de 1 ml,Présentation active,oui,65%,19960101,19940101,Procédure nationale, PFIZER HOLDING FRANCE,16.48
124_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 28 comprimé(s),Présentation active,oui,15%,20120101,20100101,Procédure décentralisée, TEVA SANTE,27.5
125_train,1 flacon(s) polyéthylène haute densité (PEHD) de 60 comprimé(s),Présentation active,oui,30%,20130101,19890101,Procédure nationale, ASTRAZENECA,5.68
126_train,flacon(s) polyéthylène haute densité (PEHD) de 7 gélule(s),Présentation active,oui,65%,20110101,20090101,Procédure nationale, EVOLUPHARM,1.88
127_train,plaquette(s) thermoformée(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s),Présentation active,non,65%,20120101,20050101,Procédure de reconnaissance mutuelle, EVOLUPHARM,7.55
128_train,plaquette(s) thermoformée(s) PVDC PVC aluminium de 14 comprimé(s),Présentation active,oui,65%,20070101,20070101,Procédure nationale, ZYDUS FRANCE,3.13
129_train,plaquette(s) thermoformée(s) polyamide aluminium polyéthylène de 30 comprimé(s),Présentation active,oui,65%,20140101,20130101,Procédure centralisée, KRKA (SLOVENIE),20.12
130_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20090101,Procédure centralisée, KRKA (SLOVENIE),16.93
131_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 84 comprimé(s),Présentation active,oui,65%,20100101,20100101,Procédure nationale, CRISTERS,17.3
132_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, EG LABO - LABORATOIRES EUROGENERICS,18.63
133_train,1 flacon(s) en verre brun de 20  comprimé(s),Présentation active,non,65%,20140101,20020101,Procédure nationale, RATIOPHARM (ALLEMAGNE),3.16
134_train,plaquette(s) thermoformée(s) polyéthylène PVC de 30  suppositoire(s),Présentation active,oui,65%,19930101,19920101,Procédure nationale, TEOFARMA,19.77
135_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 28 comprimé(s),Présentation active,non,65%,20140101,20060101,Procédure nationale, ARROW GENERIQUES,7.55
136_train,"8 sachet(s)-dose(s) papier polyéthylène aluminium P-A-M-éthylène (SURLYN) de 1,566 g",Présentation active,non,65%,20140101,20040101,Procédure nationale, ACTAVIS FRANCE,5.14
137_train,plaquette(s) thermoformée(s) PVC-aluminium de 16 comprimé(s),Présentation active,oui,65%,19960101,19950101,Procédure nationale, SANOFI AVENTIS FRANCE,11.35
138_train,1 flacon(s) en verre brun de 36 g avec cuillère-mesure polypropylène,Présentation active,oui,65%,20050101,19960101,Procédure nationale, SANDOZ,1.73
139_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,65%,20020101,19980101,Procédure nationale, PANPHARMA,15.8
140_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20110101,20070101,Procédure de reconnaissance mutuelle, TEVA SANTE,5.65
141_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, KRKA (SLOVENIE),6.36
142_train,10 plaquette(s) thermoformée(s) aluminium de 10 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure centralisée, ACCORD HEALTHCARE (ROYAUME UNI),70.96
143_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 10 comprimé(s),Présentation active,oui,65%,20110101,20060101,Procédure nationale, EVOLUPHARM,10.41
144_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20050101,19980101,Procédure nationale, SANDOZ,2.96
145_train,plaquette(s) thermoformée(s) PVC-aluminium polyamide de 30 comprimé(s),Présentation active,oui,100%,19980101,19980101,Procédure nationale, BIOGARAN,7.33
146_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,oui,65%,19970101,19820101,Procédure nationale, BIOGARAN,1.16
147_train,plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 gélule(s),Présentation active,oui,65%,20070101,20060101,Procédure nationale, MYLAN SAS,4.82
148_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20010101,Procédure de reconnaissance mutuelle, TEVA SANTE,2.54
149_train,plaquette(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,65%,20140101,20140101,Procédure de reconnaissance mutuelle, TEVA SANTE,6.1
150_train,plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s),Présentation active,oui,65%,19710101,19970101,Procédure nationale, TEOFARMA,2.14
151_train,1 ampoule(s) en verre brun de 2 ml,Présentation active,oui,65%,20150101,20140101,Procédure nationale, MYLAN SAS,1.02
152_train,plaquette(s) thermoformée(s) PVC-aluminium de 30  gélule(s),Présentation active,oui,30%,19790101,19780101,Procédure nationale, MERCK SANTE,11.92
153_train,30 plaquette(s) thermoformée(s) PVC PVDC aluminium suremballée(s)/surpochée(s) de 1 gélule(s),Présentation active,oui,100%,20080101,20070101,Procédure centralisée, ASTELLAS PHARMA EUROPE (PAYS-BAS),33.19
154_train,3 comprimés roses et 3 comprimés bleus sous plaquette(s) thermoformée(s) PVC PVDC aluminium,Présentation active,oui,65%,19960101,19950101,Procédure nationale, FERRING (FRANCE),5.68
155_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 14 comprimé(s),Présentation active,oui,65%,20110101,20080101,Procédure nationale, EVOLUPHARM,13.44
156_train,1 flacon(s) en verre,Présentation active,oui,65%,20130101,20080101,Procédure décentralisée, SANDOZ,6.06
157_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20090101,20080101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,18.63
158_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 gélule(s),Présentation active,non,65%,20120101,19920101,Procédure nationale, PFIZER HOLDING FRANCE,23.52
159_train,plaquette(s) thermoformée(s) aluminium PVC PVDC de 30 comprimé(s),Présentation active,oui,65%,20090101,20080101,Procédure nationale, SANOFI AVENTIS FRANCE,5.02
160_train,3 ampoule(s) en verre de 1 ml,Présentation active,oui,65%,19640101,19970101,Procédure nationale, MSD FRANCE,3.42
